"Name","Status"
"AarSvc_95a16e","Stopped"
"AdobeARMservice","Running"
"AdobeUpdateService","Running"
"agent_ovpnconnect","Running"
"AGMService","Running"
"AJRouter","Stopped"
"ALG","Stopped"
"AMD Crash Defender Service","Running"
"AMD External Events Utility","Running"
"AppIDSvc","Stopped"
"Appinfo","Running"
"AppMgmt","Stopped"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Running"
"AssignedAccessManagerSvc","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"BcastDVRUserService_95a16e","Stopped"
"BDESVC","Running"
"BFE","Running"
"BITS","Running"
"BluetoothUserService_95a16e","Stopped"
"BrokerInfrastructure","Running"
"Browser","Stopped"
"BTAGService","Running"
"BthAvctpSvc","Running"
"bthserv","Running"
"camsvc","Running"
"CaptureService_95a16e","Stopped"
"cbdhsvc_95a16e","Running"
"CDPSvc","Running"
"CDPUserSvc_95a16e","Running"
"CertPropSvc","Stopped"
"ClickToRunSvc","Running"
"ClipSVC","Running"
"CloudBackupRestoreSvc_95a16e","Stopped"
"cloudidsvc","Stopped"
"COMSysApp","Stopped"
"ConsentUxUserSvc_95a16e","Stopped"
"CoreMessagingRegistrar","Running"
"CredentialEnrollmentManagerUserSvc_95a16e","Stopped"
"CryptSvc","Running"
"CscService","Stopped"
"DcomLaunch","Running"
"dcsvc","Stopped"
"defragsvc","Stopped"
"DeviceAssociationBrokerSvc_95a16e","Stopped"
"DeviceAssociationService","Running"
"DeviceInstall","Stopped"
"DevicePickerUserSvc_95a16e","Stopped"
"DevicesFlowUserSvc_95a16e","Running"
"DevQueryBroker","Running"
"Dhcp","Running"
"diagnosticshub.standardcollector.service","Stopped"
"diagsvc","Stopped"
"DiagTrack","Running"
"DialogBlockingService","Stopped"
"DispBrokerDesktopSvc","Running"
"DisplayEnhancementService","Running"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"Dnscache","Running"
"DolbyDAXAPI","Running"
"DolbyFusionAPI","Running"
"DoSvc","Running"
"dot3svc","Stopped"
"DPS","Running"
"DsmSvc","Stopped"
"DsSvc","Stopped"
"DusmSvc","Running"
"EapHost","Stopped"
"edgeupdate","Stopped"
"edgeupdatem","Stopped"
"EFS","Running"
"ELANPTPService","Running"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"EPDService","Running"
"EpsonScanSvc","Running"
"EventLog","Running"
"EventSystem","Running"
"Fax","Stopped"
"fdPHost","Stopped"
"FDResPub","Stopped"
"fhsvc","Stopped"
"FontCache","Running"
"FrameServer","Stopped"
"FrameServerMonitor","Stopped"
"gpsvc","Stopped"
"GraphicsPerfSvc","Stopped"
"hidserv","Running"
"HvHost","Stopped"
"IBMPMSVC","Running"
"icssvc","Stopped"
"IKEEXT","Running"
"ImControllerService","Running"
"InstallService","Running"
"InventorySvc","Running"
"iphlpsvc","Running"
"IpxlatCfgSvc","Stopped"
"KeyIso","Running"
"KtmRm","Stopped"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"LenovoAICCLoader","Running"
"LenovoSmartStandby","Running"
"LenovoVantageService","Running"
"LenovoVisionService","Running"
"LenovoVisionSetupService","Stopped"
"lfsvc","Running"
"LicenseManager","Running"
"LITSSVC","Running"
"lltdsvc","Stopped"
"lmhosts","Running"
"LPlatSvc","Stopped"
"LSM","Running"
"LxpSvc","Stopped"
"MapsBroker","Stopped"
"McpManagementService","Stopped"
"MessagingService_95a16e","Stopped"
"MicrosoftEdgeElevationService","Stopped"
"MixedRealityOpenXRSvc","Stopped"
"MozillaMaintenance","Stopped"
"mpssvc","Running"
"MSDTC","Stopped"
"MSiSCSI","Stopped"
"msiserver","Stopped"
"MsKeyboardFilter","Stopped"
"MyEpson Portal Service","Running"
"NaturalAuthentication","Stopped"
"NcaSvc","Stopped"
"NcbService","Running"
"NcdAutoSetup","Stopped"
"Netlogon","Stopped"
"Netman","Running"
"netprofm","Running"
"NetSetupSvc","Stopped"
"NetTcpPortSharing","Stopped"
"NgcCtnrSvc","Running"
"NgcSvc","Running"
"NlaSvc","Stopped"
"NortonSecurity","Running"
"NPSMSvc_95a16e","Running"
"nsi","Running"
"nsWscSvc","Running"
"OneSyncSvc_95a16e","Running"
"ovpnhelper_service","Running"
"p2pimsvc","Stopped"
"p2psvc","Stopped"
"P9RdrService_95a16e","Stopped"
"PcaSvc","Running"
"PeerDistSvc","Stopped"
"PenService_95a16e","Stopped"
"perceptionsimulation","Stopped"
"PerfHost","Stopped"
"PhoneSvc","Running"
"PimIndexMaintenanceSvc_95a16e","Running"
"pla","Stopped"
"PlugPlay","Running"
"PNRPAutoReg","Stopped"
"PNRPsvc","Stopped"
"PolicyAgent","Running"
"Power","Running"
"PrintNotify","Stopped"
"PrintWorkflowUserSvc_95a16e","Stopped"
"ProfSvc","Running"
"PushToInstall","Stopped"
"QWAVE","Stopped"
"RasAuto","Stopped"
"RasMan","Running"
"Razer Game Manager Service","Running"
"Razer Synapse Service","Running"
"RemoteAccess","Stopped"
"RemoteRegistry","Stopped"
"RetailDemo","Stopped"
"RmSvc","Running"
"RpcEptMapper","Running"
"RpcLocator","Stopped"
"RpcSs","Running"
"RtkAudioUniversalService","Running"
"RzActionSvc","Running"
"SamSs","Running"
"SCardSvr","Stopped"
"ScDeviceEnum","Stopped"
"Schedule","Running"
"SCPolicySvc","Stopped"
"SDRSVC","Stopped"
"seclogon","Running"
"SecurityHealthService","Running"
"SEMgrSvc","Stopped"
"SENS","Running"
"Sense","Stopped"
"SensorDataService","Stopped"
"SensorService","Stopped"
"SensrSvc","Stopped"
"SessionEnv","Stopped"
"SgrmBroker","Stopped"
"SharedAccess","Stopped"
"SharedRealitySvc","Stopped"
"ShellHWDetection","Running"
"shpamsvc","Stopped"
"smphost","Stopped"
"SmsRouter","Stopped"
"SNMPTrap","Stopped"
"spectrum","Stopped"
"Spooler","Running"
"sppsvc","Stopped"
"SSDPSRV","Running"
"ssh-agent","Stopped"
"SstpSvc","Running"
"StateRepository","Running"
"StiSvc","Running"
"StorSvc","Running"
"svsvc","Stopped"
"swprv","Stopped"
"SynHsaService","Running"
"SysMain","Running"
"SystemEventsBroker","Running"
"TapiSrv","Stopped"
"TeamViewer","Running"
"TermService","Stopped"
"TextInputManagementService","Running"
"Themes","Running"
